label,message
ham,"Thanks for reaching out! Do you have a few minutes to chat at Friday? Regards,"
spam,"Dear Customer, You are the lucky winner of our daily giveaway! Click here to claim your reward: http://bit.ly/scam123 Limited time only."
ham,"Hi everyone, Could you clarify your notes on the code review? Regards,"
ham,"Dear Team, Do you have a few minutes to chat at Friday? Regards,"
ham,"Hi there, Just checking in regarding our last conversation. Can we push the client call to Monday morning instead? Regards,"
spam,"Dear Customer, You are the lucky winner of our daily giveaway! Log in at http://bit.ly/scam123 to secure your account. Do this immediately."
spam,URGENT: Your Apple ID has been suspended due to suspicious activity. Pay the $1.99 shipping fee at www.free-prize.info to get your package. Limited time only.
spam,"Hey friend, Your package could not be delivered. Log in at http://update-your-billing.net to secure your account. Hurry, offer ends {time}!"
ham,"Hi there, Hope you are having a good week. Just a reminder that the deployment is happening at next week. Talk soon,"
spam,URGENT: Get up to 70% off on all electronics! Pay the $1.99 shipping fee at http://claim-now.net to get your package. Within 24 hours or your account is deleted.
ham,"Dear Team, Thanks for reaching out! Can you review the attached budget spreadsheet by next week? Thanks,"
spam,"Hey friend, Get up to 50% off on all software licenses! Click here to claim your reward: http://bit.ly/scam123 Do this immediately."
ham,"Hi everyone, Let's schedule a meeting for 10 AM to discuss the website redesign. Cheers,"
ham,"Following up on the previous thread. Thanks for the update on the Q4 planning. Looks good. Thanks,"
spam,"Dear Customer, Invest in the new crypto coin and turn $100 into $500 a day. Reply to this email to find out how. Hurry, offer ends {time}!"
spam,WARNING: Make $500 a day working from home starting in 24 hours! Log in at http://claim-now.net to secure your account. Within 24 hours or your account is deleted.
spam,Invest in the new crypto coin and turn $100 into $500 a day. Verify your identity immediately at http://update-your-billing.net to restore access. Do this immediately.
spam,"URGENT: Invest in the new crypto coin and turn $100 into $10,000/week. Log in at http://update-your-billing.net to secure your account. Act now!"
ham,"Good morning, I hope this email finds you well. Can you review the attached draft contract by EOD? Thanks,"
spam,"ATTENTION: Clearance sale! Massive discounts on software licenses. Pay the $1.99 shipping fee at http://secure-login-verify.com to get your package. Hurry, offer ends {time}!"
spam,"Dear Customer, Clearance sale! Massive discounts on rolex watches. Click here to claim your reward: www.free-prize.info Limited time only."
ham,"Hi there, Hope you are having a good week. I'm reviewing the presentation now and will send feedback soon. Thanks,"
spam,"Congratulations! You have been selected to receive a $5000 Amazon Gift Card. Click here to claim your reward: http://claim-now.net Hurry, offer ends {time}!"
ham,"Good morning, Hope you are having a good week. Can we push the design sprint to EOD instead? Regards,"
ham,"Hi everyone, Hope you are having a good week. Thanks for the update on the server upgrade. Looks good. Thanks,"
ham,"Good morning, I hope this email finds you well. Thanks for the update on the client pitch. Looks good. Talk soon,"
spam,"Dear Customer, You have been selected to receive a free iPad Pro. Unsubscribe by clicking http://secure-login-verify.com Do this immediately."
spam,URGENT: Get up to 99% off on all electronics! Verify your identity immediately at http://secure-login-verify.com to restore access. Do this immediately.
spam,Congratulations! We noticed a login attempt on your Amazon account. Log in at http://update-your-billing.net to secure your account. Within 24 hours or your account is deleted.
ham,"Hey! Hope you are having a good week. Please find your receipt for the conference ticket attached. Cheers,"
spam,"URGENT: Invest in the new crypto coin and turn $100 into $10,000/week. Reply to this email to find out how. Hurry, offer ends {time}!"
ham,"I hope this email finds you well. Do you have a few minutes to chat at tomorrow? Regards,"
ham,"Hi everyone, Could you send me the link to the server upgrade repository? Best,"
ham,"Dear Team, Thanks for reaching out! Do you have a few minutes to chat at Monday morning? Cheers,"
spam,"URGENT: Your package could not be delivered. Log in at http://update-your-billing.net to secure your account. Hurry, offer ends {time}!"
ham,"Hello, Thanks for reaching out! Could you clarify your notes on the code review? Talk soon,"
spam,ATTENTION: Your Bank of America account has been suspended due to suspicious activity. Click here to claim your reward: http://secure-login-verify.com Within 24 hours or your account is deleted.
ham,"Hope you are having a good week. Thanks for the update on the client pitch. Looks good. Sincerely,"
ham,"I'm reviewing the presentation now and will send feedback soon. Cheers,"
spam,URGENT: You are the lucky winner of our daily giveaway! Pay the $1.99 shipping fee at http://secure-login-verify.com to get your package. Limited time only.
ham,"Hello, Are we still on for lunch at EOD? Sincerely,"
spam,ATTENTION: Clearance sale! Massive discounts on software licenses. Shop now while stocks last! Visit http://update-your-billing.net Within 24 hours or your account is deleted.
spam,"Hey friend, Your Apple ID has been suspended due to suspicious activity. Log in at http://update-your-billing.net to secure your account. Do this immediately."
ham,"Thanks for the update on the server upgrade. Looks good. Cheers,"
spam,"WARNING: Your package could not be delivered. Unsubscribe by clicking http://update-your-billing.net Hurry, offer ends {time}!"
spam,"Dear Customer, Make $500 a day working from home starting tonight! Shop now while stocks last! Visit http://claim-now.net Limited time only."
ham,"Good morning, I'm reviewing the invoice now and will send feedback soon. Best,"
spam,ATTENTION: Get up to 50% off on all rolex watches! Pay the $1.99 shipping fee at http://update-your-billing.net to get your package. Act now!
ham,"Dear Team, Following up on the previous thread. Just a reminder that the client call is happening at tomorrow. Thanks,"
ham,"Hey! Thanks for reaching out! I'm reviewing the invoice now and will send feedback soon. Sincerely,"
spam,WARNING: Make thousands of dollars working from home starting tonight! Unsubscribe by clicking http://secure-login-verify.com Within 24 hours or your account is deleted.
spam,Your package could not be delivered. Download the secure attachment to view your invoice. Do this immediately.
spam,"Dear Customer, Your Bank of America account has been suspended due to suspicious activity. Reply to this email to find out how. Do this immediately."
spam,"Dear Customer, Make $5,000 working from home starting in 24 hours! Click here to claim your reward: www.free-prize.info Do this immediately."
ham,"Hello, Thanks for reaching out! Are we still on for lunch at 10 AM? Talk soon,"
ham,"Hi there, Following up on the previous thread. Just a reminder that the all-hands meeting is happening at tomorrow. Regards,"
spam,"URGENT: Make $5,000 working from home starting tonight! Reply to this email to find out how. Act now!"
spam,"Invest in the new crypto coin and turn $100 into $5,000. Reply to this email to find out how. Within 24 hours or your account is deleted."
spam,ATTENTION: Clearance sale! Massive discounts on weight loss gummies. Shop now while stocks last! Visit http://claim-now.net Limited time only.
ham,"Hope you are having a good week. I have updated the Q3 report with the latest figures. Regards,"
spam,"Dear Customer, We noticed a login attempt on your Apple ID. Shop now while stocks last! Visit http://bit.ly/scam123 Within 24 hours or your account is deleted."
ham,"Hi everyone, Just checking in regarding our last conversation. Please find your receipt for your flight booking attached. Talk soon,"
ham,"Just checking in regarding our last conversation. Just a reminder that the client call is happening at tomorrow. Best,"
spam,"Hey friend, Your package could not be delivered. Pay the $1.99 shipping fee at http://update-your-billing.net to get your package. Limited time only."
ham,"Dear Team, I have updated the Q3 report with the latest figures. Best,"
ham,"Hey! Following up on the previous thread. Can you review the attached budget spreadsheet by 2 PM? Talk soon,"
ham,"Hello, I'll be out of office until noon. Thanks,"
spam,"WARNING: Make $10,000/week working from home starting in 24 hours! Reply to this email to find out how. Hurry, offer ends {time}!"
spam,Your package could not be delivered. Click here to claim your reward: http://update-your-billing.net Do this immediately.
spam,WARNING: You have been selected to receive a brand new iPhone 15. Click here to claim your reward: www.free-prize.info Limited time only.
spam,URGENT: Clearance sale! Massive discounts on weight loss gummies. Reply to this email to find out how. Do this immediately.
ham,"Hello, Just checking in regarding our last conversation. Could you send me the link to the client pitch repository? Talk soon,"
spam,"Hey friend, You are the lucky winner of our daily giveaway! Reply to this email to find out how. Act now!"
spam,Get up to 70% off on all weight loss gummies! Shop now while stocks last! Visit http://update-your-billing.net Within 24 hours or your account is deleted.
ham,"Hey! Are we still on for lunch at next week? Best,"
spam,"Hey friend, You have been selected to receive a luxury vacation to Hawaii. Reply to this email to find out how. Within 24 hours or your account is deleted."
ham,"Good morning, Let's schedule a meeting for noon to discuss the Q4 planning. Cheers,"
spam,URGENT: Clearance sale! Massive discounts on rolex watches. Download the secure attachment to view your invoice. Within 24 hours or your account is deleted.
ham,"Hi there, Hope you are having a good week. Can we push the coffee chat to Friday instead? Best,"
spam,"Get up to 99% off on all electronics! Pay the $1.99 shipping fee at http://claim-now.net to get your package. Hurry, offer ends {time}!"
spam,"Hey friend, You have been selected to receive a Tesla Model S. Unsubscribe by clicking www.free-prize.info Hurry, offer ends {time}!"
spam,"Invest in the new crypto coin and turn $100 into $10,000/week. Verify your identity immediately at http://secure-login-verify.com to restore access. Do this immediately."
spam,ATTENTION: We noticed a login attempt on your Bank of America account. Pay the $1.99 shipping fee at http://secure-login-verify.com to get your package. Within 24 hours or your account is deleted.
ham,"Good morning, Following up on the previous thread. The Q4 planning is progressing well. We hit the milestone. Talk soon,"
ham,"Good morning, I hope this email finds you well. Could you send me the link to the website redesign repository? Talk soon,"
